packsize,price,price_per_unit,product_image,product_title
340g,"$3.,49",$10.26 per kg,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_6_95b755bb96.jpg,"
					Market Fare Zucchini Noodles 340g 
				"
,"$2.,79",$2.79 per kg,https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_ALN2364_AWARDS_FROZEN_FOOD_1x1_228x128_10_9729780f9e.jpg,"
					Market Fare Winter Vegetables 1kg 
				"
850g,"$3.,49",$4.11 per kg,https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_b87e9b8cb1.jpg,"
					Market Fare Stir Fry Vegetables 850g 
				"
ea,"$2.,79",$11.16 per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2364-7_HEALTH_1x1_228x128_6_678cce7213.jpg,"
					Essential Health Paw Paw Ointment 
				"
100ml,"$6.,99",$6.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN2853_HEALTH_1x1_228x128_2_52ddfb3258.jpg,"
					Green Action Eucalyptus Oil 100ml 
				"
24pk,"$1.,49",6c per tablet,https://www.aldi.com.au/fileadmin/_processed_/e/e/csm_ALN2364-7_HEALTH_1x1_228x128_7_5e19cb1d8b.jpg,"
					Hedafen Ibuprofen 24pk 
				"
20pk,"$2.,39",12c per capsule,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364-7_HEALTH_1x1_228x128_8_d5b131d4a1.jpg,"
					Hedafen Ibuprofen Liquid Capsules 20pk 
				"
,69,3c per tablet,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2364-7_HEALTH_1x1_228x128_9_c613cd50e7.jpg,"
					Hedanol Paracetamol Capsule Shaped Tablets 20pk 
				"
,"$1.,39",$1.74 per 100 rounds,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_9_1dbf20698f.jpg,"
					LACURA, Essentials Make Up Rounds 80pk       
				"
,99,41c per 100 tips,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_10_2945f8c10b.jpg,"
					LACURA, Essentials Cotton Tips 240pk    
				"
,"$3.,99",50c per unit,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_11_f02b9d87a7.jpg,"
					LACURA, Essentials Women's Comfort Touch 3 Blade Disposable Razors 8pk      
				"
,"$9.,99",$66.60/100ml,https://www.aldi.com.au/fileadmin/_processed_/9/1/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_9_93889e4a72.jpg,"
					LACURA, Skin Science Renew Expert Double Effect Eye Gel 15ml    
				"
